time,currency,event,impact
01:00:00,JPY,Economy Watchers Sentiment,low
02:00:00,EUR,German Industrial Production m/m,medium
02:00:00,EUR,German Trade Balance,low
04:30:00,EUR,Sentix Investor Confidence,low
01:01:00,All,G7 Meetings,high
08:13:00,CAD,Housing Starts,low
08:30:00,CAD,Building Permits m/m,high
10:00:00,USD,Labor Market Conditions Index m/m,low
16:30:00,CAD,Gov Council Member Wilkins Speaks,medium
18:45:00,NZD,Manufacturing Sales q/q,low
19:01:00,GBP,BRC Retail Sales Monitor y/y,low
19:50:00,JPY,M2 Money Stock y/y,low
21:30:00,AUD,NAB Business Confidence,high
21:30:00,AUD,ANZ Job Advertisements m/m,medium
21:30:00,AUD,Home Loans m/m,medium
21:30:00,CNY,CPI y/y,high
21:30:00,CNY,PPI y/y,medium
