currency,date
EUR,2020 Dec 8
EUR,2020 Dec 24
AUD,2020 Dec 24
NZD,2020 Dec 24
CHF,2020 Dec 25
EUR,2020 Dec 25
EUR,2020 Dec 25
EUR,2020 Dec 25
GBP,2020 Dec 25
CAD,2020 Dec 25
USD,2020 Dec 25
AUD,2020 Dec 27
NZD,2020 Dec 27
GBP,2020 Dec 28
CAD,2020 Dec 28
JPY,2020 Dec 30
EUR,2020 Dec 31
NZD,2020 Dec 31
AUD,2020 Dec 31
JPY,2020 Dec 31
CNY,2020 Dec 31
NZD,2020 Apr 4
AUD,2020 Apr 4
CNY,2020 Apr 5
NZD,2020 Apr 9
AUD,2020 Apr 9
CHF,2020 Apr 10
EUR,2020 Apr 10
GBP,2020 Apr 10
CAD,2020 Apr 10
NZD,2020 Apr 12
AUD,2020 Apr 12
CHF,2020 Apr 13
EUR,2020 Apr 13
EUR,2020 Apr 13
EUR,2020 Apr 13
GBP,2020 Apr 13
NZD,2020 Apr 26
JPY,2020 Apr 28
CNY,2020 Apr 30
CAD,2022 Jul 1
USD,2022 Jul 4
EUR,2022 Jul 14
JPY,2022 Jul 17
AUD,2022 Jul 31
CHF,2018 Aug 1
AUD,2018 Aug 5
CAD,2018 Aug 6
EUR,2018 Aug 15
EUR,2018 Aug 15
GBP,2018 Aug 27
EUR,2013 Nov 1
EUR,2013 Nov 1
CAD,2013 Nov 3
USD,2013 Nov 3
JPY,2013 Nov 3
EUR,2013 Nov 11
CAD,2013 Nov 11
USD,2013 Nov 11
USD,2013 Nov 28
CAD,2013 Jul 1
USD,2013 Jul 4
JPY,2013 Jul 14
CAD,2009 Nov 1
USD,2009 Nov 1
JPY,2009 Nov 2
EUR,2009 Nov 11
CAD,2009 Nov 11
USD,2009 Nov 11
JPY,2009 Nov 22
USD,2009 Nov 26
CNY,2010 May 2
JPY,2010 May 2
GBP,2010 May 3
JPY,2010 May 3
JPY,2010 May 4
CHF,2010 May 13
EUR,2010 May 13
EUR,2010 May 13
CHF,2010 May 24
EUR,2010 May 24
EUR,2010 May 24
CAD,2010 May 24
GBP,2010 May 31
USD,2010 May 31
EUR,2010 Jun 2
NZD,2010 Jun 6
AUD,2010 Jun 13
CNY,2010 Jun 13
CNY,2010 Jun 14
CNY,2010 Jun 15
EUR,2010 Jun 29
CAD,2015 Nov 1
USD,2015 Nov 1
JPY,2015 Nov 2
EUR,2015 Nov 11
CAD,2015 Nov 11
USD,2015 Nov 11
JPY,2015 Nov 22
USD,2015 Nov 26
CAD,2013 Mar 10
USD,2013 Mar 10
JPY,2013 Mar 19
NZD,2013 Mar 28
AUD,2013 Mar 28
CHF,2013 Mar 29
EUR,2013 Mar 29
GBP,2013 Mar 29
CAD,2013 Mar 29
CHF,2013 Mar 30
EUR,2013 Mar 30
GBP,2013 Mar 30
NZD,2013 Mar 31
AUD,2013 Mar 31
CNY,2012 Oct 1
CNY,2012 Oct 2
EUR,2012 Oct 3
CNY,2012 Oct 3
CNY,2012 Oct 4
AUD,2012 Oct 6
JPY,2012 Oct 7
CAD,2012 Oct 8
USD,2012 Oct 8
NZD,2012 Oct 21
CHF,2012 Oct 27
EUR,2012 Oct 27
GBP,2012 Oct 27
CAD,2021 Mar 14
USD,2021 Mar 14
CHF,2021 Mar 27
EUR,2021 Mar 27
GBP,2021 Mar 27
NZD,2018 Jun 3
AUD,2018 Jun 10
CNY,2018 Jun 17
EUR,2018 Jun 29
EUR,2017 Nov 1
EUR,2017 Nov 1
JPY,2017 Nov 2
CAD,2017 Nov 5
USD,2017 Nov 5
USD,2017 Nov 10
CAD,2017 Nov 13
JPY,2017 Nov 22
USD,2017 Nov 23
CAD,2020 Aug 3
JPY,2020 Aug 9
GBP,2020 Aug 31
NZD,2017 Jan 1
AUD,2017 Jan 1
JPY,2017 Jan 1
CNY,2017 Jan 1
CHF,2017 Jan 2
GBP,2017 Jan 2
CAD,2017 Jan 2
USD,2017 Jan 2
NZD,2017 Jan 2
JPY,2017 Jan 2
EUR,2017 Jan 6
JPY,2017 Jan 8
USD,2017 Jan 16
AUD,2017 Jan 25
CNY,2017 Jan 26
CNY,2017 Jan 29
CNY,2017 Jan 30
CNY,2017 Jan 31
EUR,2012 Nov 1
EUR,2012 Nov 1
CAD,2012 Nov 4
USD,2012 Nov 4
CAD,2012 Nov 12
USD,2012 Nov 12
USD,2012 Nov 22
JPY,2012 Nov 22
NZD,2017 Apr 1
AUD,2017 Apr 1
CNY,2017 Apr 2
CNY,2017 Apr 3
NZD,2017 Apr 13
AUD,2017 Apr 13
CHF,2017 Apr 14
EUR,2017 Apr 14
GBP,2017 Apr 14
CAD,2017 Apr 14
NZD,2017 Apr 16
AUD,2017 Apr 16
CHF,2017 Apr 17
EUR,2017 Apr 17
EUR,2017 Apr 17
EUR,2017 Apr 17
GBP,2017 Apr 17
NZD,2017 Apr 24
AUD,2017 Apr 24
EUR,2017 Apr 25
CNY,2017 Apr 30
EUR,2016 Nov 1
EUR,2016 Nov 1
JPY,2016 Nov 2
CAD,2016 Nov 6
USD,2016 Nov 6
EUR,2016 Nov 11
CAD,2016 Nov 11
USD,2016 Nov 11
JPY,2016 Nov 22
USD,2016 Nov 24
CAD,2007 Mar 11
USD,2007 Mar 11
NZD,2007 Mar 17
JPY,2007 Mar 20
AUD,2007 Mar 24
CHF,2007 Mar 24
EUR,2007 Mar 24
GBP,2007 Mar 24
CAD,2008 Sep 1
USD,2008 Sep 1
CNY,2008 Sep 14
JPY,2008 Sep 14
JPY,2008 Sep 22
NZD,2008 Sep 27
CNY,2008 Sep 30
CHF,2020 Jun 1
EUR,2020 Jun 1
EUR,2020 Jun 1
EUR,2020 Jun 2
AUD,2020 Jun 7
CNY,2020 Jun 24
CNY,2020 Jun 25
EUR,2020 Jun 29
JPY,2012 Dec 23
